,Loc,Loc_Name,Loc Purp Desc,Loc/QTI,DC,Operating_Capacity,Total_Scheduled_Quantity,OAC,Loc_Zn,IT,Flow_Ind_Desc,State,County,Operator,OBA,G/T,Miles,EGM,Flw Cntl,All Qty Avail,Qty Reason,Cycle_Desc,Eff_Gas_Day,TSP
0,80001   ,ELKHART - CONSUMERS ENERGY,Delivery Location,DPQ,715000,665000,190048,474952,Z-2     ,N,D,IN      ,ELKHART,Consumers Energy Company,Y,T,924,Y,N,Y,,Timely-2021-01-26-7933062,2021-01-26 21:57:12.192285,7933062
1,80002   ,ELKHART - MGU,Delivery Location,DPQ,50000,50000,0,50000,Z-2     ,N,D,IN      ,ELKHART,Michigan Gas Utilities,N,T,924,Y,Y,Y,,Timely-2021-01-26-7933062,2021-01-26 21:57:12.192285,7933062
2,80009   ,"CITY OF RENSSELAER, IN",Delivery Location,DPQ,10000,10000,3521,6479,Z-2     ,N,D,IN      ,JASPER,City of Rensselaer,N,T,821,Y,Y,Y,,Timely-2021-01-26-7933062,2021-01-26 21:57:12.192285,7933062
3,80012   ,"VILLAGE OF MILFORD, IL",Delivery Location,DPQ,10000,10000,1,9999,Z-2     ,N,D,IL      ,IROQUOIS,"Village of Milford, IL",N,T,753,Y,Y,Y,,Timely-2021-01-26-7933062,2021-01-26 21:57:12.192285,7933062
4,80014   ,POTOMAC - MIDWESTERN,Delivery Location,DPQ,150000,150000,1,149999,Z-2     ,N,D,IL      ,VERMILION,Midwestern Gas Transmission Company,Y,T,768,Y,Y,Y,,Timely-2021-01-26-7933062,2021-01-26 21:57:12.192285,7933062
5,80023   ,PEPL @ BOURBON - TGC,Receipt Location,RPQ,1100000,1100000,196758,903242,Z1B     ,N,R,IL      ,DOUGLAS,"Trunkline Gas Company, LLC",Y,T,719,N,Y,Y,,Timely-2021-01-26-7933062,2021-01-26 21:57:12.192285,7933062
6,80023   ,PEPL @ BOURBON - TGC,Delivery Location,DPQ,1100000,1100000,0,1100000,Z1B     ,N,D,IL      ,DOUGLAS,"Trunkline Gas Company, LLC",Y,T,719,N,Y,Y,,Timely-2021-01-26-7933062,2021-01-26 21:57:12.192285,7933062
7,80028   ,"VILLAGE OF TOLEDO, IL",Delivery Location,DPQ,2000,2000,1,1999,Z1B     ,N,D,IL      ,CUMBERLAND,Village of Toledo,N,T,688,Y,Y,Y,,Timely-2021-01-26-7933062,2021-01-26 21:57:12.192285,7933062
8,80029   ,"VILLAGE OF GREENUP, IL",Delivery Location,DPQ,7000,7000,1,6999,Z1B     ,N,D,IL      ,CUMBERLAND,Village of Greenup,N,T,688,Y,Y,Y,,Timely-2021-01-26-7933062,2021-01-26 21:57:12.192285,7933062
9,80032   ,"VILLAGE OF LOUISVILLE, IL",Delivery Location,DPQ,1700,1700,335,1365,Z1B     ,N,D,IL      ,CLAY,Village of Louisville,N,T,653,Y,Y,Y,,Timely-2021-01-26-7933062,2021-01-26 21:57:12.192285,7933062
10,80033   ,"VILLAGE OF CLAY CITY, IL",Delivery Location,DPQ,2000,2000,250,1750,Z1B     ,N,D,IL      ,CLAY,Village of Clay City,N,T,647,Y,Y,Y,,Timely-2021-01-26-7933062,2021-01-26 21:57:12.192285,7933062
11,80034   ,XENIA - LIBERTY ENERGY (MIDSTATES),Delivery Location,DPQ,900,900,1,899,Z1B     ,N,D,IL      ,CLAY,Liberty Utilities (Midstates Natural Gas) Corp.,N,T,643,Y,Y,Y,,Timely-2021-01-26-7933062,2021-01-26 21:57:12.192285,7933062
12,80035   ,"CITY OF FLORA, IL",Delivery Location,DPQ,10000,10000,1378,8622,Z1B     ,N,D,IL      ,CLAY,"City of Flora, IL",N,T,643,Y,Y,Y,,Timely-2021-01-26-7933062,2021-01-26 21:57:12.192285,7933062
