,Cycle_Desc,Post_Date,Eff_Gas_Day,Cap_Type_Desc,Post_Time,Eff_Time,Loc,Loc_Name,Loc_Zn,Flow_Ind_Desc,Loc_Purp_Desc,Loc_QTI_Desc,Meas_Basis_Desc,IT,All_Qty_Avail,Total_Design_Capacity,Operating_Capacity,Total_Scheduled_Quantity,Operationally_Available_Capacity,TSP_Name,TSP
0,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,50021,NORA LATERAL - MAINLINE,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"221,602","221,602",0,"221,602",EAST TENN,7921323
1,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,50022,NORA LATERAL,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"141,755","141,755",0,"141,755",EAST TENN,7921323
2,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,50092,MAINLINE JEWELL RIDGE,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"599,536","599,536","161,256","438,280",EAST TENN,7921323
3,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,53101,EL PASO - RIDGETOP RECEIVING,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,N,Y,"398,090","398,090","245,130","152,960",EAST TENN,7921323
4,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,53201,EL PASO - LOBELVILLE RECEIVING,,Receipt,Receipt Location,Receipt Point Quantity,MMBtu,Y,Y,"253,230","253,230","93,206","160,024",EAST TENN,7921323
5,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59000,KUB EAST,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"85,978","85,978",0,"85,978",EAST TENN,7921323
6,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59001,CHAT EAST,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,Y,Y,"119,150","119,150","6,750","112,400",EAST TENN,7921323
7,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59002,UCG BRISTOL,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"27,227","27,227","12,779","14,448",EAST TENN,7921323
8,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59003,ROANOKE SALEM,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"44,460","44,460","4,260","40,200",EAST TENN,7921323
9,INTRDY_2020-12-18_1800,12-18-2020,12-18-2020,Operational Capacity,18:00,09:00,59004,ROANOKE CLEARBROOK,,Delivery,Delivery Location,Delivery Point Quantity,MMBtu,N,Y,"44,460","44,460","12,414","32,046",EAST TENN,7921323
